section,field_path,data_type,required,nullable,cardinality,producer,authority,mutability,state_vocabulary,description,conditions
source_handoff,source_handoff.accepted_at,datetime,yes,no,one,A2 receiver,A2 receipt,immutable_input,,Timestamp A2 accepted the input or initialised a controlled manual package.,
source_handoff,source_handoff.accepted_by,object,yes,no,one,A2 receiver,A2 receipt,immutable_input,,Receiver profile/actor information.,
source_handoff,source_handoff.candidate_snapshot_sha256,string,yes,no,one,A1 handoff validator,Accepted handoff,immutable_input,,Canonical hash of the embedded A1 candidate snapshot.,
source_handoff,source_handoff.handoff_snapshot,object,yes,no,one,A1 handoff,Accepted A1-to-A2 envelope,immutable_input,,Complete lossless accepted handoff envelope; A2 cannot edit it.,
subject,subject.identity_resolution_status,enum,yes,no,one,A2 entity resolver,A2 identity review,deterministic_derived,identity_resolution_status,Overall A2 subject identity state.,
subject,subject.entities,array<object>,yes,no,one_or_more,A2 entity resolver,A2 canonical record,append_only_history,,Person and organisation entities resolved or proposed by A2.,
subject,subject.entities[].entity_id,string,yes,no,one,A2 entity resolver,A2 lineage,immutable_revision,,Stable entity ID within the A2 lineage.,
subject,subject.entities[].entity_type,enum,yes,no,one,A2 entity resolver,A2 entity model,immutable_revision,entity_type,Person or organisation.,
subject,subject.entities[].source_identity_reference,string,yes,yes,zero_or_one,A2 entity resolver,A1 handoff or A2 evidence,immutable_revision,,Reference to A1 identity where applicable.,
subject,subject.entities[].display_name,string,yes,no,one,A2 entity resolver,Evidence/reviewer,versioned,,Current proposed display name.,
subject,subject.entities[].aliases,array<string>,yes,no,zero_or_more,A2 entity resolver,Evidence/reviewer,append_only_history,,Known aliases preserved for matching.,
subject,subject.entities[].match_status,enum,yes,no,one,Entity matcher,Matching evidence,deterministic_derived,entity_match_status,External or internal match status.,
subject,subject.entities[].external_matches,array<object>,yes,no,zero_or_more,Connector/entity matcher,External source,append_only_history,,Possible or confirmed external record matches.,
subject,subject.relationships,array<object>,yes,no,zero_or_more,A2 entity resolver,Evidence/reviewer,append_only_history,,Explicit person-organisation and other approved relationships.,
subject,subject.relationships[].relationship_id,string,conditional,no,one,A2 entity resolver,A2 lineage,immutable_revision,,Unique relationship ID; required for each relationship.,
subject,subject.relationships[].from_entity_id,string,conditional,no,one,A2 entity resolver,A2 entity model,immutable_revision,,Source entity reference.,
subject,subject.relationships[].to_entity_id,string,conditional,no,one,A2 entity resolver,A2 entity model,immutable_revision,,Target entity reference.,
subject,subject.relationships[].relationship_type,string,conditional,no,one,A2 entity resolver,Business field catalogue,versioned,,Approved relationship type such as works_for or owns.,
subject,subject.relationships[].evidence_ids,array<string>,conditional,no,one_or_more,A2 entity resolver,Evidence registry/A1 handoff,immutable_revision,,Evidence supporting the relationship.,
subject,subject.material_conflicts,array<string>,yes,no,zero_or_more,Conflict controller,Evidence/reviewer,append_only_history,conflict_status,Material subject-identity conflicts.,
enrichment_scope,enrichment_scope.mode,enum,yes,no,one,Triggering user/workflow,Approved request,immutable_revision,enrichment_mode,Default minimum package or targeted fields.,
enrichment_scope,enrichment_scope.requested_field_keys,array<string>,yes,no,zero_or_more,Triggering user/workflow,Business field catalogue,immutable_revision,,Explicit requested canonical field keys.,
enrichment_scope,enrichment_scope.field_catalogue_version,string,yes,no,one,Runtime preflight,Approved field catalogue,immutable_revision,,Field catalogue version applied.,
enrichment_scope,enrichment_scope.source_register_version,string,yes,yes,zero_or_one,Runtime preflight,Approved A2 source register,immutable_revision,,Null until an A2 source register is approved; no live research when null.,
enrichment_scope,enrichment_scope.operating_scope,enum,yes,no,one,Runtime preflight,Accepted handoff,immutable_revision,operating_scope,Scope must be consistent with source handoff.,
enrichment_scope,enrichment_scope.limits,object,yes,no,one,Runtime policy,Approved quota policy,immutable_revision,,Candidate/source/call/retry/cost limits for the run.,
enrichment_scope,enrichment_scope.initiated_by,object,yes,no,one,Runtime controller,Audit identity,immutable_revision,,Initiating user/workflow and purpose.,
field_assessments,field_assessments,array<object>,yes,no,zero_or_more,A2 workflow,A2 canonical record,append_only_history,,Generic field-assessment collection.,
field_assessments,field_assessments[].field_assessment_id,string,conditional,no,one,A2 workflow,A2 lineage,immutable_revision,,Unique assessment ID; required for each item.,
field_assessments,field_assessments[].field_key,string,conditional,no,one,A2 workflow,Approved field catalogue,immutable_revision,,Canonical business field key.,
field_assessments,field_assessments[].entity_id,string,conditional,yes,zero_or_one,A2 workflow,Subject entity model,immutable_revision,,Entity owning the field; null only for record-level fields.,
field_assessments,field_assessments[].scope,enum,conditional,no,one,A2 workflow,Field catalogue,immutable_revision,field_scope,"Person, organisation, relationship or record scope.",
field_assessments,field_assessments[].field_catalogue_version,string,conditional,no,one,Runtime preflight,Approved field catalogue,immutable_revision,,Catalogue version defining the field.,
field_assessments,field_assessments[].value_type,string,conditional,no,one,Runtime preflight,Field catalogue,immutable_revision,,Expected canonical value type.,
field_assessments,field_assessments[].sensitivity_classification,string,conditional,no,one,Governance preflight,Approved data policy,immutable_revision,,Data category and sensitivity classification.,
field_assessments,field_assessments[].presence_status,enum,conditional,no,one,Field controller,Deterministic state model,deterministic_derived,value_presence_status,Whether a reliable value is known.,
field_assessments,field_assessments[].availability_status,enum,conditional,no,one,Source/tool controller,Deterministic state model,deterministic_derived,availability_status,Whether the applicable source/check was usable and found data.,
field_assessments,field_assessments[].field_quality_status,enum,conditional,no,one,Quality controller,Deterministic state model,deterministic_derived,field_quality_status,Overall field-quality state.,
field_assessments,field_assessments[].baseline,object,conditional,yes,zero_or_one,Initialiser/connector,A1/HubSpot/prior approved revision,external_authoritative_mirror,,Value known before the current A2 proposal.,
field_assessments,field_assessments[].baseline.value,canonical_value,conditional,yes,zero_or_one,Initialiser/connector,Baseline authority,immutable_revision,,Raw baseline value; nullable when no value exists.,
field_assessments,field_assessments[].baseline.normalised_value,canonical_value,conditional,yes,zero_or_one,Normalizer,Deterministic method,deterministic_derived,,Normalised baseline value.,
field_assessments,field_assessments[].baseline.origin,object,conditional,no,one,Initialiser/connector,A1/HubSpot/prior revision,immutable_revision,,"Origin system, record and field reference.",
field_assessments,field_assessments[].baseline.observed_at,datetime,conditional,yes,zero_or_one,Initialiser/connector,Origin source,immutable_revision,,When the baseline was observed or retrieved.,
field_assessments,field_assessments[].baseline.evidence_ids,array<string>,conditional,no,zero_or_more,Initialiser/connector,A1 handoff/evidence registry,immutable_revision,,Evidence or authoritative references supporting the baseline.,
field_assessments,field_assessments[].baseline.protected_status,enum,conditional,no,one,Protected-field controller,Approved policy/source metadata,deterministic_derived,protected_field_status,Baseline protection classification.,
field_assessments,field_assessments[].observations,array<object>,conditional,no,zero_or_more,A2 tools/providers/humans,Evidence registry,append_only_history,,Candidate values observed during A2 enrichment.,
field_assessments,field_assessments[].observations[].observation_id,string,conditional,no,one,Observation builder,A2 lineage,immutable_revision,,Unique observation ID.,
field_assessments,field_assessments[].observations[].raw_value,canonical_value,conditional,yes,zero_or_one,Source collector,Permitted source,immutable_revision,,Value exactly as observed where storage is permitted.,
field_assessments,field_assessments[].observations[].normalised_value,canonical_value,conditional,yes,zero_or_one,Normalizer,Deterministic method,deterministic_derived,,Normalised observation value.,
field_assessments,field_assessments[].observations[].evidence_ids,array<string>,conditional,no,one_or_more,Observation builder,Evidence registry/A1 handoff,immutable_revision,,Evidence supporting the observation.,
field_assessments,field_assessments[].observations[].verification_status,enum,conditional,no,one,Verification controller,Approved verification policy,deterministic_derived,verification_status,Observation verification state.,
field_assessments,field_assessments[].observations[].confidence_level,enum,conditional,no,one,Confidence controller,Approved confidence policy,deterministic_derived,confidence_level,Observation confidence level.,
field_assessments,field_assessments[].observations[].freshness_status,enum,conditional,no,one,Freshness controller,Approved freshness policy,deterministic_derived,freshness_status,Observation freshness state.,
field_assessments,field_assessments[].observations[].claim_type,enum,conditional,no,one,Evidence collector,Evidence source,immutable_revision,claim_type,"Direct fact, inference or contradiction.",
field_assessments,field_assessments[].observations[].error,object,conditional,yes,zero_or_one,Tool/controller,Runtime audit,append_only_history,,Structured error/limitation for the observation.,
field_assessments,field_assessments[].proposed_resolution,object,conditional,yes,zero_or_one,A2 proposal logic,Evidence and policy,versioned,,At most one proposal per assessment and revision.,
field_assessments,field_assessments[].proposed_resolution.action,enum,conditional,no,one,A2 proposal logic,A2 state model,immutable_revision,proposal_action,Proposed field action.,
field_assessments,field_assessments[].proposed_resolution.value,canonical_value,conditional,yes,zero_or_one,A2 proposal logic,Evidence and policy,immutable_revision,,Proposed raw/canonical value where applicable.,
field_assessments,field_assessments[].proposed_resolution.normalised_value,canonical_value,conditional,yes,zero_or_one,Normalizer,Deterministic method,deterministic_derived,,Normalised proposed value.,
field_assessments,field_assessments[].proposed_resolution.evidence_ids,array<string>,conditional,no,zero_or_more,A2 proposal logic,Evidence registry/A1 handoff,immutable_revision,,Evidence supporting the proposal.,
field_assessments,field_assessments[].proposed_resolution.rationale,string,conditional,no,one,A2 proposal logic,Evidence and policy,immutable_revision,,Concise evidence-led rationale.,
field_assessments,field_assessments[].proposed_resolution.verification_status,enum,conditional,no,one,Verification controller,Approved policy,deterministic_derived,verification_status,Proposal verification state.,
field_assessments,field_assessments[].proposed_resolution.confidence_level,enum,conditional,no,one,Confidence controller,Approved policy,deterministic_derived,confidence_level,Proposal confidence level.,
field_assessments,field_assessments[].proposed_resolution.freshness_status,enum,conditional,no,one,Freshness controller,Approved policy,deterministic_derived,freshness_status,Proposal freshness state.,
field_assessments,field_assessments[].proposed_resolution.conflict_status,enum,conditional,no,one,Conflict controller,Approved policy/reviewer,deterministic_derived,conflict_status,Conflict state relative to baseline/other observations.,
field_assessments,field_assessments[].proposed_resolution.protected_status,enum,conditional,no,one,Protected-field controller,Approved policy,deterministic_derived,protected_field_status,Protection state governing the proposal.,
field_assessments,field_assessments[].field_review,object,conditional,no,one,Authorised reviewer,Recorded human decision,human_controlled_decision,,Field-level review event; defaults to pending or not_required.,
field_assessments,field_assessments[].field_review.decision,enum,conditional,no,one,Authorised reviewer,Recorded human decision,human_controlled_decision,field_review_decision,Field decision.,
field_assessments,field_assessments[].field_review.reviewer,object,conditional,yes,zero_or_one,Authorised reviewer,Approval matrix,human_controlled_decision,,Reviewer identity; required for non-pending decisions except not_required.,
field_assessments,field_assessments[].field_review.decided_at,datetime,conditional,yes,zero_or_one,Authorised reviewer,Audit clock,human_controlled_decision,,Decision timestamp.,
field_assessments,field_assessments[].field_review.reason,string,conditional,yes,zero_or_one,Authorised reviewer,Recorded decision,human_controlled_decision,,Decision rationale or hold/change reason.,
field_assessments,field_assessments[].field_review.corrected_value,canonical_value,conditional,yes,zero_or_one,Authorised reviewer,Recorded decision,human_controlled_decision,,"Optional reviewer correction, creating a new revision.",
field_assessments,field_assessments[].application,object,conditional,no,one,Connector/workflow,External receipt,connector_controlled_reference,,Application/sync state separate from approval.,
field_assessments,field_assessments[].application.status,enum,conditional,no,one,Connector/workflow,External receipt,connector_controlled_reference,application_status,External application status.,
field_assessments,field_assessments[].application.destination,string,conditional,yes,zero_or_one,Connector/workflow,Approved mapping,connector_controlled_reference,,Destination system/property reference.,
field_assessments,field_assessments[].application.external_action_reference,string,conditional,yes,zero_or_one,Connector/workflow,External receipt,connector_controlled_reference,,Required when applied/reconciled.,
field_assessments,field_assessments[].application.workflow_dependency_status,enum,conditional,no,one,Dependency audit,HubSpot workflow register,deterministic_derived,workflow_dependency_status,Mapped property/list/workflow side-effect status.,
field_assessments,field_assessments[].application.applied_at,datetime,conditional,yes,zero_or_one,Connector/workflow,External receipt,connector_controlled_reference,,Application timestamp.,
field_assessments,field_assessments[].application.error,object,conditional,yes,zero_or_one,Connector/workflow,Runtime audit,append_only_history,,Structured application failure.,
evidence_registry,evidence_registry,array<object>,yes,no,zero_or_more,A2 collectors/providers,A2 evidence registry,append_only_history,,A2-native evidence records; reused A1 evidence remains in source_handoff.,
evidence_registry,evidence_registry[].evidence_id,string,conditional,no,one,Evidence builder,A2 evidence namespace,immutable_revision,,Unique A2 evidence ID.,
evidence_registry,evidence_registry[].namespace,enum,conditional,no,one,Evidence builder,A2 evidence policy,immutable_revision,evidence_namespace,A2 evidence namespace; never relabel A1 evidence.,
evidence_registry,evidence_registry[].source_id,string,conditional,no,one,Evidence collector,A2 source register,immutable_revision,,Versioned source-register ID.,
evidence_registry,evidence_registry[].source_type,string,conditional,no,one,Evidence collector,A2 source register,immutable_revision,,Source category.,
evidence_registry,evidence_registry[].source_policy_status,enum,conditional,no,one,Runtime preflight,A2 source register,immutable_revision,source_policy_status,Source permission status applied.,
evidence_registry,evidence_registry[].source_url,string,conditional,yes,zero_or_one,Evidence collector,Permitted source,immutable_revision,,Canonical source URL where applicable.,
evidence_registry,evidence_registry[].provider_reference,string,conditional,yes,zero_or_one,Provider connector,Provider receipt,connector_controlled_reference,,Provider request/result reference where applicable.,
evidence_registry,evidence_registry[].access_method,string,conditional,no,one,Evidence collector,A2 source register,immutable_revision,,"Manual, assisted, API or authorised file access profile.",
evidence_registry,evidence_registry[].retrieved_at,datetime,conditional,no,one,Evidence collector,Audit clock,immutable_revision,,Retrieval timestamp.,
evidence_registry,evidence_registry[].source_date,datetime_or_date,conditional,yes,zero_or_one,Evidence collector,Source,immutable_revision,,Source publication/update date when available.,
evidence_registry,evidence_registry[].title,string,conditional,yes,zero_or_one,Evidence collector,Source,immutable_revision,,Source title or record label.,
evidence_registry,evidence_registry[].excerpt_or_result_summary,string,conditional,no,one,Evidence collector,Source/provider and storage policy,immutable_revision,,Minimum permitted evidence excerpt or result summary.,
evidence_registry,evidence_registry[].claim_type,enum,conditional,no,one,Evidence collector,Evidence content,immutable_revision,claim_type,"Direct fact, inference or contradiction.",
evidence_registry,evidence_registry[].supports_field_assessment_ids,array<string>,conditional,no,zero_or_more,Evidence builder,A2 record,immutable_revision,,Field assessments supported by this evidence.,
evidence_registry,evidence_registry[].supports_requalification_signal_ids,array<string>,conditional,no,zero_or_more,Evidence builder,A2 record,immutable_revision,,Requalification signals supported by this evidence.,
evidence_registry,evidence_registry[].reliability_level,enum,conditional,no,one,Evidence policy,Approved evidence method,deterministic_derived,reliability_level,Source/evidence reliability classification.,
evidence_registry,evidence_registry[].independence_group_id,string,conditional,yes,zero_or_one,Evidence policy,Source relationship analysis,immutable_revision,,Groups copied/syndicated sources to prevent false corroboration.,
evidence_registry,evidence_registry[].provider_cost,object,conditional,yes,zero_or_one,Provider connector,Provider receipt,append_only_history,,Credits/cost and cost-status metadata where applicable.,
evidence_registry,evidence_registry[].supersedes_evidence_id,string,conditional,yes,zero_or_one,Evidence correction process,A2 evidence registry,append_only_history,,Prior evidence corrected without deleting history.,
evidence_registry,evidence_registry[].data_minimisation_notes,string,conditional,yes,zero_or_one,Evidence collector,Approved governance policy,immutable_revision,,Notes on omitted or restricted fields.,
data_quality,data_quality.status,enum,yes,no,one,Quality controller,A2 quality method,deterministic_derived,data_quality_status,Record-level enrichment quality state.,
data_quality,data_quality.method_version,string,yes,yes,zero_or_one,Quality controller,Approved quality policy,immutable_revision,,Null until the quality method is approved.,
data_quality,data_quality.calculated_at,datetime,yes,yes,zero_or_one,Quality controller,Audit clock,deterministic_derived,,Calculation timestamp.,
data_quality,data_quality.required_field_keys,array<string>,yes,no,zero_or_more,Quality controller,Minimum data package,immutable_revision,,Applicable required fields.,
data_quality,data_quality.missing_field_keys,array<string>,yes,no,zero_or_more,Quality controller,Field assessments,deterministic_derived,,Required fields with no usable value.,
data_quality,data_quality.unverified_field_keys,array<string>,yes,no,zero_or_more,Quality controller,Field assessments,deterministic_derived,,Fields failing verification requirements.,
data_quality,data_quality.conflict_field_keys,array<string>,yes,no,zero_or_more,Quality controller,Field assessments,deterministic_derived,,Fields with unresolved material conflicts.,
data_quality,data_quality.stale_field_keys,array<string>,yes,no,zero_or_more,Quality controller,Freshness policy,deterministic_derived,,Fields that require recheck.,
data_quality,data_quality.invalid_field_keys,array<string>,yes,no,zero_or_more,Quality controller,Validator,deterministic_derived,,Fields that fail type/policy/consistency validation.,
data_quality,data_quality.limitations,array<string>,yes,no,zero_or_more,Quality controller/reviewer,Validated record,append_only_history,,Visible limitations for human review.,
duplicate_and_eligibility,duplicate_and_eligibility.checks,array<object>,yes,no,zero_or_more,Duplicate/eligibility controllers,Authoritative check source,append_only_history,,"Separate A1, A2, HubSpot and eligibility checks.",
duplicate_and_eligibility,duplicate_and_eligibility.checks[].check_id,string,conditional,no,one,Check controller,A2 lineage,immutable_revision,,Unique check ID.,
duplicate_and_eligibility,duplicate_and_eligibility.checks[].check_type,string,conditional,no,one,Check controller,Approved check catalogue,immutable_revision,,"Duplicate, customer, Deal, consent, suppression, sequence or other check type.",
duplicate_and_eligibility,duplicate_and_eligibility.checks[].system,string,conditional,no,one,Check controller,Source system,immutable_revision,,"A1, A2, HubSpot, file or provider system.",
duplicate_and_eligibility,duplicate_and_eligibility.checks[].status,enum,conditional,no,one,Check controller,Source result,deterministic_derived,duplicate_status,Duplicate status when check_type is duplicate; field-specific vocabulary later for other checks.,
duplicate_and_eligibility,duplicate_and_eligibility.checks[].checked_at,datetime,conditional,yes,zero_or_one,Check controller,Audit clock,immutable_revision,,Check timestamp; null when unavailable/not_checked.,
duplicate_and_eligibility,duplicate_and_eligibility.checks[].matches_or_references,array<object>,conditional,no,zero_or_more,Check controller,Source result,append_only_history,,"Matches, list refs or authoritative status refs.",
duplicate_and_eligibility,duplicate_and_eligibility.checks[].reason,string,conditional,yes,zero_or_one,Check controller,Source result,immutable_revision,,Reason/limitation/error note.,
duplicate_and_eligibility,duplicate_and_eligibility.a2_eligibility_status,enum,yes,no,one,Eligibility controller,Approved gates,deterministic_derived,eligibility_status,Eligibility for the declared A2 operating scope.,
duplicate_and_eligibility,duplicate_and_eligibility.outreach_eligibility_status,enum,yes,no,one,CRM/policy/reviewer,HubSpot and approved policy,external_authoritative_mirror,outreach_eligibility_status,Separate outreach eligibility; unavailable before CRM checks.,
duplicate_and_eligibility,duplicate_and_eligibility.owner_routing_status,enum,yes,no,one,CRM/assignment policy/reviewer,HubSpot and approved rules,external_authoritative_mirror,owner_routing_status,Owner routing result; defaults to unavailable/needs_owner_review without rules.,
duplicate_and_eligibility,duplicate_and_eligibility.reasons,array<string>,yes,no,zero_or_more,Eligibility controller,Check results,deterministic_derived,,Visible eligibility reasons and blockers.,
duplicate_and_eligibility,duplicate_and_eligibility.evaluated_at,datetime,yes,yes,zero_or_one,Eligibility controller,Audit clock,deterministic_derived,,Evaluation timestamp.,
duplicate_and_eligibility,duplicate_and_eligibility.method_version,string,yes,yes,zero_or_one,Eligibility controller,Approved policy,immutable_revision,,Eligibility method version.,
requalification,requalification.signals,array<object>,yes,no,zero_or_more,A2 evidence/qualification logic,A2 record,append_only_history,,Potential material evidence changes returned to A1.,
requalification,requalification.signals[].signal_id,string,conditional,no,one,A2 signal builder,A2 lineage,immutable_revision,,Unique signal ID.,
requalification,requalification.signals[].affected_criterion_id,string,conditional,no,one,A2 signal builder,A1 ICP configuration,immutable_revision,,A1 criterion potentially affected.,
requalification,requalification.signals[].prior_criterion_status,string,conditional,no,one,A2 signal builder,A1 handoff,immutable_revision,,Original A1 criterion status.,
requalification,requalification.signals[].proposed_evidence_status,string,conditional,no,one,A2 signal builder,Evidence only,immutable_revision,,"Proposed evidence state, never points or score.",
requalification,requalification.signals[].evidence_ids,array<string>,conditional,no,one_or_more,A2 signal builder,A2 evidence/A1 refs,immutable_revision,,Evidence supporting the signal.,
requalification,requalification.signals[].materiality,enum,conditional,no,one,A2 signal builder,Approved policy,deterministic_derived,requalification_materiality,"Low, medium or high materiality.",
requalification,requalification.signals[].potential_score_direction,enum,conditional,no,one,A2 signal builder,Evidence interpretation,immutable_revision,potential_score_direction,"Increase, decrease, unchanged or unknown; never a numeric score.",
requalification,requalification.signals[].status,enum,conditional,no,one,A2/reviewer/workflow,A2 state model,append_only_history,requalification_signal_status,Signal lifecycle state.,
requalification,requalification.returns,array<object>,yes,no,zero_or_more,Workflow,Durable A1 return/receipt,append_only_history,,Structured return payload references.,
requalification,requalification.returns[].return_id,string,conditional,no,one,Workflow,Durable return store,immutable_revision,,Return payload ID.,
requalification,requalification.returns[].signal_ids,array<string>,conditional,no,one_or_more,Workflow,A2 record,immutable_revision,,Approved signals included.,
requalification,requalification.returns[].status,enum,conditional,no,one,Workflow/A1 receipt,Durable workflow,append_only_history,requalification_return_status,Return delivery/receipt state.,
requalification,requalification.returns[].approval,object,conditional,yes,zero_or_one,Authorised reviewer,Approval matrix,human_controlled_decision,,Required before delivery during pilot.,
requalification,requalification.score_revision_references,array<object>,yes,no,zero_or_more,A1 return connector,A1 deterministic scoring,append_only_history,,Authoritative A1 score-revision results.,
requalification,requalification.score_revision_references[].score_revision_id,string,conditional,no,one,A1 scoring connector,A1 result,connector_controlled_reference,,A1 score revision ID.,
requalification,requalification.score_revision_references[].status,enum,conditional,no,one,A1 scoring/reviewer,A1 result/approval,append_only_history,score_revision_status,Revision lifecycle state.,
requalification,requalification.score_revision_references[].score,number,conditional,yes,zero_or_one,A1 deterministic scorer,A1 result,immutable_input,,A1-produced score only; required for proposed/approved result as defined later.,
requalification,requalification.score_revision_references[].band,string,conditional,yes,zero_or_one,A1 deterministic scorer,A1 result,immutable_input,,A1-produced band only.,
requalification,requalification.score_revision_references[].model_version,string,conditional,yes,zero_or_one,A1 deterministic scorer,A1 result,immutable_input,,A1 scoring model version.,
requalification,requalification.score_revision_references[].approval,object,conditional,yes,zero_or_one,Authorised A1 reviewer,A1 approval record,human_controlled_decision,,Required for approved revision.,
requalification,requalification.score_revision_references[].result_reference,string,conditional,yes,zero_or_one,A1 connector,A1 result store,connector_controlled_reference,,Verifiable A1 result reference.,
review,review.record_decision,enum,yes,no,one,Authorised reviewer,Recorded human decision,human_controlled_decision,record_review_decision,Record-level review decision.,
review,review.reviewer,object,yes,yes,zero_or_one,Authorised reviewer,Approval matrix,human_controlled_decision,,Required for non-pending decisions.,
review,review.decided_at,datetime,yes,yes,zero_or_one,Authorised reviewer,Audit clock,human_controlled_decision,,Decision timestamp.,
review,review.reason,string,yes,yes,zero_or_one,Authorised reviewer,Recorded decision,human_controlled_decision,,"Reason for rejection, hold, block or changes.",
review,review.required_field_decisions_complete,boolean,yes,no,one,Review validator,Field reviews,deterministic_derived,,True only when all required field-level decisions are complete.,
review,review.requested_changes,array<string>,yes,no,zero_or_more,Authorised reviewer,Recorded decision,append_only_history,,Requested corrections or evidence.,
workflow,workflow.state,enum,yes,no,one,Workflow/application layer,A2 state model,controlled_transition,workflow_state,Current A2 workflow state for this revision.,
workflow,workflow.previous_state,enum,yes,yes,zero_or_one,Workflow/application layer,Prior revision/state,immutable_revision,workflow_state,Prior workflow state.,
workflow,workflow.transitioned_at,datetime,yes,no,one,Workflow/application layer,Audit clock,immutable_revision,,Transition timestamp.,
workflow,workflow.triggered_by,object,yes,no,one,Workflow/application layer,Audit identity,immutable_revision,,Actor/event causing the transition.,
workflow,workflow.hold_reasons,array<string>,yes,no,zero_or_more,Workflow/reviewer,Check/review results,append_only_history,,Required when held.,
workflow,workflow.block_reasons,array<string>,yes,no,zero_or_more,Workflow/reviewer,Policy/check results,append_only_history,,Required when blocked.,
workflow,workflow.failure,object,yes,yes,zero_or_one,Workflow,Runtime audit,append_only_history,,Structured processing/sync failure.,
system_references,system_references.a1_candidate_id,string,yes,no,one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,A1 candidate ID.,Must match the immutable source_handoff reference.
system_references,system_references.a1_handoff_id,string,yes,no,one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,A1-to-A2 handoff ID.,Must match the immutable source_handoff reference.
system_references,system_references.twenty_record_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Twenty or approved staging record ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.hubspot_contact_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Matched/created HubSpot Contact ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.hubspot_company_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Matched/created HubSpot Company ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.hubspot_deal_ids,array<string>,yes,yes,zero_or_more,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Relevant HubSpot Deal IDs.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.hubspot_proposed_patch_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Proposed HubSpot patch ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.hubspot_sync_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,Verified HubSpot sync/action ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.n8n_work_item_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,n8n/shared work-item ID.,Null does not mean checked or absent; a separate status is required.
system_references,system_references.n8n_execution_id,string,yes,yes,zero_or_one,Authorised connector/workflow,Verified external receipt,connector_controlled_reference,,n8n execution ID.,Null does not mean checked or absent; a separate status is required.
