field_key,label,scope,value_type,allowed_segments,farrier_priority,horse_owner_priority,collection_policy,data_category,inference_policy,paid_lookup_allowed,enum_values,a1_requalification_criterion_ids,approval_rule,unknown_behaviour,mapping_candidates,description
organisation.disciplines,Equine disciplines,organisation,string_array,"[""farrier"",""horse_owner""]",required,optional,permitted_for_proposal,professional_business_data,not_permitted,false,null,"[""farrier.sport_horse_focus"",""horse_owner.performance_discipline""]",human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""disciplines_worked_with"",""status"":""mapping_candidate_only""},{""system"":""hubspot"",""object"":""contact"",""property"":""owner_primary_discipline"",""status"":""mapping_candidate_only""}]",Explicit professional or organisation disciplines; multiple values permitted.
organisation.horse_count,Verified exact horse count,organisation,integer,"[""horse_owner""]",not_applicable,required,permitted_for_proposal,professional_business_data,explicit_value_only_with_hubspot_precedence_for_existing_record,false,null,"[""horse_owner.more_than_three_horses""]",human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""owner_horse_count"",""status"":""mapping_candidate_only""}]",Verified exact count. Existing matched HubSpot Contact.owner_horse_count is authoritative; net-new prospects may use explicit approved evidence. Never inferred.
organisation.horse_count_band,A2 horse-count review band,organisation,enum,"[""horse_owner""]",not_applicable,do_not_collect,disabled_deprecated_historical_only,professional_business_data,deterministic_derivation_from_verified_exact_count_only,false,"[""1"",""2_4"",""5_10"",""11_25"",""26_50"",""51_plus""]","[""horse_owner.more_than_three_horses""]",human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],Deprecated historical A2 field. Do not create new values; horse_count_range is ignored.
organisation.stable_type,Stable or farm type,organisation,enum,"[""horse_owner""]",not_applicable,required,permitted_for_proposal,professional_business_data,not_permitted,false,"[""private_farm"",""boarding"",""training"",""breeding"",""backyard"",""other""]",[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""stable_type"",""status"":""mapping_candidate_only""}]",Normalised organisation type using the provisional Unitalk taxonomy.
organisation.breeds,Horse breeds,organisation,string_array,"[""horse_owner""]",not_applicable,required,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""owner_breeds"",""status"":""mapping_candidate_only""}]",At least one explicitly verified breed value is required for Horse Owner enrichment completeness. Preserve verified Mixed or Other values as stated.
organisation.horses_served_per_month,Horses served per month,organisation,integer,"[""farrier""]",do_not_collect,not_applicable,disabled_pending_equinet_use_case_and_source,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""farrier_horses_served"",""status"":""mapping_candidate_only""}]",Aggregate Farrier business volume. Disabled until Equinet confirms a use case and permitted source.
organisation.client_base_summary,Aggregate client-base summary,organisation,structured,"[""farrier""]",do_not_collect,not_applicable,disabled_pending_equinet_use_case_and_source,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],Aggregate business client types or size only; named client identities are prohibited.
relationship.role,Person-to-organisation role,relationship,string,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],Verified relationship role between a retained person and organisation.
relationship.target_role_priority,Target-role priority,relationship,enum,"[""farrier"",""horse_owner""]",conditional_required,conditional_required,permitted_for_proposal,professional_business_data,deterministic_mapping_from_verified_current_role,false,"[""primary"",""secondary"",""review_only"",""excluded"",""target_role_not_found""]",[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],Normalised Unitalk role priority derived from the approved targeting table.
relationship.buying_role_recommendation,Buying-role recommendation,relationship,enum,"[""farrier"",""horse_owner""]",optional,optional,permitted_for_proposal,professional_business_data,bounded_recommendation_from_verified_role,false,"[""decision_maker"",""influencer"",""user"",""unknown""]",[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,"[{""system"":""hubspot"",""object"":""contact"",""property"":""hs_buying_role"",""status"":""mapping_candidate_only""}]",Non-binding recommendation derived from a verified role; human approval is required before CRM mapping.
network.mutual_connections,Mutual connections,network,structured,"[""farrier"",""horse_owner""]",do_not_collect,do_not_collect,disabled_pending_official_integration_and_storage_approval,network_relationship_data,not_permitted,false,null,[],human_review_required_during_pilot,preserve_unknown_and_record_gap_when_required,[],"Mutual-connection information. Disabled until an authorised official source, account, purpose and storage rule are approved."
